item-app  | 
item-app  | > docker-software-delivery@1.0.0 start /app
item-app  | > node ./bin/www
item-app  | 
item-app  | NODE_ENV: production
item-app  | Connected to database
item-db   | 2023-09-06T16:12:18.495+0000 I CONTROL  [initandlisten] MongoDB starting : pid=1 port=27017 dbpath=/data/db 64-bit host=87bbade01a35
item-db   | 2023-09-06T16:12:18.495+0000 I CONTROL  [initandlisten] db version v3.6.23
item-db   | 2023-09-06T16:12:18.495+0000 I CONTROL  [initandlisten] git version: d352e6a4764659e0d0350ce77279de3c1f243e5c
item-db   | 2023-09-06T16:12:18.495+0000 I CONTROL  [initandlisten] OpenSSL version: OpenSSL 1.0.2g  1 Mar 2016
item-db   | 2023-09-06T16:12:18.495+0000 I CONTROL  [initandlisten] allocator: tcmalloc
item-db   | 2023-09-06T16:12:18.495+0000 I CONTROL  [initandlisten] modules: none
item-db   | 2023-09-06T16:12:18.495+0000 I CONTROL  [initandlisten] build environment:
item-db   | 2023-09-06T16:12:18.495+0000 I CONTROL  [initandlisten]     distmod: ubuntu1604
item-db   | 2023-09-06T16:12:18.495+0000 I CONTROL  [initandlisten]     distarch: x86_64
item-db   | 2023-09-06T16:12:18.495+0000 I CONTROL  [initandlisten]     target_arch: x86_64
item-db   | 2023-09-06T16:12:18.495+0000 I CONTROL  [initandlisten] options: { net: { bindIpAll: true } }
item-db   | 2023-09-06T16:12:18.496+0000 I -        [initandlisten] Detected data files in /data/db created by the 'wiredTiger' storage engine, so setting the active storage engine to 'wiredTiger'.
item-db   | 2023-09-06T16:12:18.496+0000 I STORAGE  [initandlisten] 
item-db   | 2023-09-06T16:12:18.496+0000 I STORAGE  [initandlisten] ** WARNING: Using the XFS filesystem is strongly recommended with the WiredTiger storage engine
item-db   | 2023-09-06T16:12:18.496+0000 I STORAGE  [initandlisten] **          See http://dochub.mongodb.org/core/prodnotes-filesystem
item-db   | 2023-09-06T16:12:18.496+0000 I STORAGE  [initandlisten] wiredtiger_open config: create,cache_size=3431M,cache_overflow=(file_max=0M),session_max=20000,eviction=(threads_min=4,threads_max=4),config_base=false,statistics=(fast),compatibility=(release="3.0",require_max="3.0"),log=(enabled=true,archive=true,path=journal,compressor=snappy),file_manager=(close_idle_time=100000),statistics_log=(wait=0),verbose=(recovery_progress),
item-db   | 2023-09-06T16:12:19.290+0000 I STORAGE  [initandlisten] WiredTiger message [1694016739:290167][1:0x7f39e20e1a40], txn-recover: Main recovery loop: starting at 2/5888
item-db   | 2023-09-06T16:12:19.435+0000 I STORAGE  [initandlisten] WiredTiger message [1694016739:434860][1:0x7f39e20e1a40], txn-recover: Recovering log 2 through 3
item-db   | 2023-09-06T16:12:19.529+0000 I STORAGE  [initandlisten] WiredTiger message [1694016739:529504][1:0x7f39e20e1a40], txn-recover: Recovering log 3 through 3
item-db   | 2023-09-06T16:12:19.595+0000 I STORAGE  [initandlisten] WiredTiger message [1694016739:595716][1:0x7f39e20e1a40], txn-recover: Set global recovery timestamp: 0
item-db   | 2023-09-06T16:12:19.613+0000 I CONTROL  [initandlisten] 
item-db   | 2023-09-06T16:12:19.613+0000 I CONTROL  [initandlisten] ** WARNING: Access control is not enabled for the database.
item-db   | 2023-09-06T16:12:19.613+0000 I CONTROL  [initandlisten] **          Read and write access to data and configuration is unrestricted.
item-db   | 2023-09-06T16:12:19.613+0000 I CONTROL  [initandlisten] 
item-db   | 2023-09-06T16:12:19.613+0000 I CONTROL  [initandlisten] 
item-db   | 2023-09-06T16:12:19.613+0000 I CONTROL  [initandlisten] ** WARNING: /sys/kernel/mm/transparent_hugepage/enabled is 'always'.
item-db   | 2023-09-06T16:12:19.613+0000 I CONTROL  [initandlisten] **        We suggest setting it to 'never'
item-db   | 2023-09-06T16:12:19.613+0000 I CONTROL  [initandlisten] 
item-db   | 2023-09-06T16:12:19.615+0000 I FTDC     [initandlisten] Initializing full-time diagnostic data capture with directory '/data/db/diagnostic.data'
item-db   | 2023-09-06T16:12:19.616+0000 I NETWORK  [initandlisten] listening via socket bound to 0.0.0.0
item-db   | 2023-09-06T16:12:19.616+0000 I NETWORK  [initandlisten] listening via socket bound to /tmp/mongodb-27017.sock
item-db   | 2023-09-06T16:12:19.616+0000 I NETWORK  [initandlisten] waiting for connections on port 27017
item-db   | 2023-09-06T16:12:19.981+0000 I NETWORK  [listener] connection accepted from 172.20.0.3:51624 #1 (1 connection now open)
item-db   | 2023-09-06T16:12:19.986+0000 I NETWORK  [conn1] received client metadata from 172.20.0.3:51624 conn1: { driver: { name: "nodejs", version: "2.2.36" }, os: { type: "Linux", name: "linux", architecture: "x64", version: "5.15.90.1-microsoft-standard-WSL2" }, platform: "Node.js v14.21.3, LE, mongodb-core: 2.1.20" }
item-db   | 2023-09-06T16:13:33.347+0000 I NETWORK  [listener] connection accepted from 172.20.0.1:59136 #2 (2 connections now open)
item-db   | 2023-09-06T16:13:33.349+0000 I NETWORK  [listener] connection accepted from 172.20.0.1:59148 #3 (3 connections now open)
item-db   | 2023-09-06T16:13:33.363+0000 I NETWORK  [conn2] Error receiving request from client: ProtocolError: Client sent an HTTP request over a native MongoDB connection. Ending connection from 172.20.0.1:59136 (connection id: 2)
item-db   | 2023-09-06T16:13:33.363+0000 I NETWORK  [conn2] end connection 172.20.0.1:59136 (2 connections now open)
item-db   | 2023-09-06T16:13:33.572+0000 I NETWORK  [conn3] Error receiving request from client: ProtocolError: Client sent an HTTP request over a native MongoDB connection. Ending connection from 172.20.0.1:59148 (connection id: 3)
